DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
C04	UEA2d.YM	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. 
C05	UEAB2.YM	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. 
C06	UEA2c.YM	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. 
C07	negative	23.09.2006	none		none	none	none	Douda Bensasson	toothpick
C08	UEA2d.2	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C09	UEA1c.1	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C10	UEA1c.2	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C11	UEA1c.3	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C12	UEA1c.4	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C13	UEA1c.5	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C14	UEA1c.6	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C15	UEA1c.7	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C16	UEA1c.8	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C17	UEA1c.9	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C18	UEA1c.10	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C19	UEA1c.YM	25.09.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. 
C20	negative	25.09.2006	none		none	none	none	Douda Bensasson	toothpick
C21	+A2EC1.1b-G418	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD+300ug/ml G418
C22	+A2EC1.1b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C23	+A2EC1.1c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C24	+A2EC1.1d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C25	+A2EC2.1b-G418	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD+300ug/ml G418
C26	+A2EC2.1b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C27	+A2EC2.1c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C28	+A2EC2.1d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C29	myBY4743b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Douda Bensasson	colony b, BY4741x BY4742 in sporulation medium
C30	+E2EC1.1b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C31	+E2EC1.1c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C32	+E2EC1.1d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C33	+E2EC2.1b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C34	+E2EC2.1c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C35	+E2EC2.1d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C36	+A2EC1.2b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C37	+A2EC1.2c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C38	+A2EC1.2d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C39	+E2EC1.2b	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony b, diploid, in YPD
C40	+E2EC1.2c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony c, diploid, in YPD
C41	+E2EC1.2d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	colony d, diploid, in YPD
C42	myBY4743c	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Douda Bensasson	colony c, BY4741x BY4742 in YPD
C43	myBY4743d	27.09.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Douda Bensasson	colony d, BY4741x BY4742 in YPD
C44	negative-G418	27.09.2006	none		none	none	none	Douda Bensasson	toothpick
C45	negative	27.09.2006	none		none	none	none	Douda Bensasson	toothpick
C46	UEA1c.16	03.10.2006	13.9.07	23	yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.1. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C47	UEA1c.17	03.10.2006	27.9.2007	5	yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.2. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C48	UEA1c.18	03.10.2006	27.9.2007	6	yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.3 single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C49	UEA1c.19	03.10.2006	27.9.2007	7	yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.4. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C50	UEA1c.20	03.10.2006	27.9.2007	8	yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.5. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C51	UEA1c.21	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.6. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C52	UEA1c.22	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.7. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C53	UEA1c.23	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.8. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C54	UEA1c.24	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.9. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C55	UEA1c.25	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	labelled as UEA1c.10. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C56	UEA1c.11	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C57	UEA1c.12	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C58	UEA1c.13	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C59	UEA1c.14	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C60	UEA1c.15	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C61	UEA1c.SM	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
C62	UEA2b.1	03.10.2006	UEA2b.1.1		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C63	UEA2b.2	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C64	UEA2b.3	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D01	UEA2b.4	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D02	UEA2b.5	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D03	UEA2b.6	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D04	UEA2b.7	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D05	UEA2b.8	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D06	UEA2b.9	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D07	UEA2b.10	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D08	UEA2b.11	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D09	UEA2b.12	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D10	UEA2b.13	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D11	UEA2b.14	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D12	UEA2b.15	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D13	UEA2b.SM	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D14	UEA2a.1	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D15	UEA2a.2	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D16	UEA2a.3	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D17	UEA2d.16	03.10.2006	UEA2d.16.1		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D18	UEA2d.17	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D19	UEA2d.18	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D20	UEA2d.19	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D21	UEA2d.20	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D22	UEA2d.21	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D23	UEA2d.22	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D24	UEA2d.23	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D25	UEA2d.24	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D26	UEA2d.25	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D27	UEA2d.SM	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D28	UEA2c.11	03.10.2006	13.9.07	24	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D29	UEA2c.12	03.10.2006	27.9.2007	13.00	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D30	UEA2c.13	03.10.2006	27.9.2007	14	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D31	UEA2c.14	03.10.2006	27.9.2007	15	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D32	UEA2c.15	03.10.2006	27.9.2007	16.00	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D33	UEA2c.16	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D34	UEA2c.17	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D35	UEA2c.18	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D36	UEA2c.19	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D37	UEA2c.20	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D38	UEA2c.21	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D39	UEA2c.22	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D40	UEA2c.23	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D41	UEA2c.24	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D42	UEA2c.25	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D43	UEA2c.26	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D44	UEA2c.27	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D45	UEA2c.28	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D46	UEA2c.29	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D47	UEA2c.30	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D48	UEA2c.SM	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
D49	UEAB2.5	03.10.2006	UEAB2.5.1		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D50	UEAB2.6	03.10.2006	UEAB2.6.1		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D51	lost	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	originally: UEAB2.7. single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D52	UEAB2.8	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D53	UEAB2.9	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D54	UEAB2.10	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
D55	UEAB2.11	03.10.2006	none		yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Could be contaminated by surrounding very small colonies
